,question,most_common_response,correct_response,was_correct,percent_most_common_response,num_digits,completion_1,completion_2,completion_3,completion_4,completion_5,completion_6,completion_7,completion_8,completion_9,completion_10,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10
0,What is 1 * 5?,5.0,5,True,100.0,1,1 * 5 = 5,1 * 5 = 5,1 * 5 = 5,1 * 5 = 5,1 * 5 = 5,1 * 5 = 5,1 * 5 equals 5.,1 * 5 equals 5.,1 * 5 = 5.,1 * 5 = 5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,What is 21 * 62?,1302.0,1302,True,100.0,2,"The answer is 1,302.","The answer is 1,302.","The answer is 1,302.","The answer is 1,302.","The answer is 1,302.","1,302","The answer is 1,302.","The answer is 1,302.","The answer is 1,302.","The answer is 1,302.",1302.0,1302.0,1302.0,1302.0,1302.0,1302.0,1302.0,1302.0,1302.0,1302.0
2,What is 372 * 210?,78120.0,78120,True,100.0,3,"78,120","78,120","78,120","78,120","78,120","The answer is 78,120.","78,120","The answer is 78,120.","The answer is 78,120.","The answer is 78,120.",78120.0,78120.0,78120.0,78120.0,78120.0,78120.0,78120.0,78120.0,78120.0,78120.0
3,What is 1625 * 7211?,11716375.0,11717875,False,20.0,4,The answer is 11722775.,11721475,"11,716,375",11729375,"The product of 1625 and 7211 is 11,719,375.","11,716,375","The product of 1625 and 7211 is 11,721,875.",11729575,"11,720,375","11,717,375",11722775.0,11721475.0,11716375.0,11729375.0,11719375.0,11716375.0,11721875.0,11729575.0,11720375.0,11717375.0
4,What is 80281 * 83704?,67389412.0,6719840824,False,10.0,5,"67,389,412",The result of 80281 * 83704 is 6728191824.,"6,736,818,024","The answer is 6,737,896,624.","67,279,0824","The answer is 6,732,699,424.","6,738,000,024","The answer is 6,734,768,624.","The answer is 6,741,604,624.","The answer is 6,732,355,424.",67389412.0,6728191824.0,6736818024.0,6737896624.0,672790824.0,6732699424.0,6738000024.0,6734768624.0,6741604624.0,6732355424.0
5,What is 6 * 6?,36.0,36,True,100.0,1,36,36,36,36,36,36,36,36,36,36.,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
6,What is 16 * 30?,480.0,480,True,100.0,2,16 * 30 = 480,16 * 30 = 480,16 * 30 = 480,16 * 30 = 480,480,16 * 30 = 480,16 * 30 = 480,480,16 * 30 = 480,16 * 30 = 480,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
7,What is 238 * 445?,105710.0,105910,False,100.0,3,"The answer is 105,710.","The answer is 105,710.","105,710","105,710","The answer is 105,710.","The answer is 105,710.","The product of 238 and 445 is 105,710.","105,710","The answer is 105,710.","The answer is 105,710.",105710.0,105710.0,105710.0,105710.0,105710.0,105710.0,105710.0,105710.0,105710.0,105710.0
8,What is 6468 * 5016?,32462688.0,32443488,False,20.0,4,"The product of 6468 and 5016 is 32,445,888.","The answer is 32,502,688.","32,487,888","The product of 6468 and 5016 is 32,452,288.","The answer is 32,484,288.","The answer is 32,488,688.","The product of 6468 and 5016 is 32,454,288.","The product of 6468 and 5016 is 32,462,688.","The product of 6468 and 5016 is 32,441,088.","The product of 6468 and 5016 is 32,462,688.",32445888.0,32502688.0,32487888.0,32452288.0,32484288.0,32488688.0,32454288.0,32462688.0,32441088.0,32462688.0
9,What is 31466 * 10218?,321971788.0,321519588,False,10.0,5,The answer is 321971788.,"The product of 31466 and 10218 is 321,974,788.","The answer is 321,958,788.","The product of 31466 and 10218 is 321,981,588.","The answer is 322,251,588.","The product of 31466 and 10218 is 321,980,788.","The answer is 322,355,788.","The answer is 322,405,788.",The product of 31466 and 10218 is 321947788.,The answer is 321950788.,321971788.0,321974788.0,321958788.0,321981588.0,322251588.0,321980788.0,322355788.0,322405788.0,321947788.0,321950788.0
10,What is 7 * 2?,14.0,14,True,100.0,1,14.,The answer is 14.,The answer is 14.,The answer is 14.,14.,14.,7 * 2 = 14.,14,14.,The answer is 14.,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
